country,keyword,search_volume,cpc,competition_level,source,difficulty
es,naviera armas,90500,0.15,LOW,seed,19
pt,metro porto,90500,0.81,LOW,seed,6
pt,tempo Coimbra,90500,0.05,LOW,seed,10
es,aeropuerto barcelona,90500,1.14,LOW,w3,39
es,arco de triunfo barcelona,90500,0.25,LOW,w3,0
es,el corte ingles canarias,90500,0.04,LOW,w3,23
es,l'aquarium de barcelona,90500,0.37,LOW,w3,7
es,l'aquàrium de barcelona,90500,0.37,LOW,w3,7
es,coches de segunda mano,90500,0.46,HIGH,w3,37
es,alquiler coche,90500,3.07,MEDIUM,w3,75
es,universidad complutense de madrid,90500,3.37,LOW,w3,64
es,temperatura en madrid,90500,0,LOW,w3,50
es,plano de metro de madrid,90500,0.04,LOW,w3,17
es,línea 6 metro madrid,90500,0,LOW,w3,20
es,hora peruana,90500,0,LOW,w3,11
es,peru hora,90500,0,LOW,w3,9
es,metro madrid línea 6,90500,0,LOW,w3,23
es,centro comercial tresaguas,90500,0.73,LOW,w3,0
es,linea 6 madrid,90500,0,LOW,w3,4
es,linea de metro 6 madrid,90500,0,LOW,w3,7
es,centro comercial los arcos,90500,0.16,LOW,w3,10
es,linea 6 de metro madrid,90500,0,LOW,w3,20
es,zoo aquarium de madrid,90500,0.47,LOW,w3,21
es,metro madrid linea 6,90500,0,LOW,w3,18
es,metro de madrid linea 6,90500,0,LOW,w3,30
es,metro 6 madrid,90500,0,LOW,w3,7
es,linea 6 metro de madrid,90500,0,LOW,w3,4
es,linea metro 6 madrid,90500,0,LOW,w3,11
es,palacio real,90500,1,MEDIUM,w3,53
es,mapa del mundo,90500,0.04,MEDIUM,w3,10
es,linea 6 metro madrid,90500,0,LOW,w3,22
es,hora: españa,90500,0,LOW,w3,40
pt,meteorologia leiria,90500,0,LOW,w3,7
pt,vila franca de xira,90500,1.17,LOW,w3,36
pt,porto moniz,90500,0.72,LOW,w3,9
pt,metro do porto,90500,0.81,LOW,w3,4
pt,são bento porto,90500,0.14,LOW,w3,1
pt,casino portugal,90500,3.36,MEDIUM,w3,29
pt,time out market lisboa,90500,0.29,LOW,w3,22
pt,eleições autárquicas 2025,90500,0,LOW,w3,14
pt,eleições autarquicas 2025,90500,0,LOW,w3,12
pt,eleicoes autarquicas 2025,90500,0,LOW,w3,14
pt,aeroporto,90500,0.07,LOW,w3,22
es,horario del peru,90500,0,LOW,w3,5
es,el tiempo en ciudad real,90500,0,LOW,w3,52
es,caixaforum madrid,90500,0.09,LOW,w3,43
es,aeropuerto madrid barajas t4 madrid,90500,0.36,LOW,w3,20
es,aeropuerto madrid barajas t4,90500,0.36,LOW,w3,32
es,festivos madrid 2025,90500,0,LOW,w3,0
es,precio petroleo hoy,90500,0.13,LOW,w3,51
es,cotizacion repsol,90500,6.08,LOW,w3,7
es,acciones repsol,90500,2.56,LOW,w3,7
es,diario de noticias de alava,90500,0,LOW,w3,27
es,renfe billetes,90500,0.6,LOW,w3,47
es,lasexta en directo,90500,0.01,LOW,w3,53
es,el tiempo ciudad real,90500,0,LOW,w3,46
es,españa-egipto,90500,1.95,LOW,w3,0
es,españa turquía,90500,0,LOW,w3,3
es,españa egipto,90500,1.95,LOW,w3,0
es,real sociedad foros,90500,0,LOW,w3,3
es,alaves real sociedad,90500,0,LOW,w3,1
es,foro real sociedad,90500,0,LOW,w3,12
es,el tiempo: vigo,90500,0,LOW,w3,24
es,museo guggenheim bilbao,90500,0.4,LOW,w3,20
es,museos bilbao guggenheim,90500,0.4,LOW,w3,20
pt,calendários 2026,90500,0.05,MEDIUM,w3,2
pt,ponte de lima,90500,0.72,LOW,w3,14
es,traductor español aleman,90500,0.51,LOW,w3,19
es,seur seguimiento,90500,1.25,LOW,w3,0
es,ebro coches,90500,0.42,HIGH,w5,18
es,el tiempo en el puerto de santa maria,90500,0,LOW,w5,27
es,estación de autobuses plaza de armas,90500,0.11,LOW,w5,0
es,jefatura provincial de tráfico,90500,0.58,LOW,w10,
es,consultar prestacion sepe,90500,0,LOW,w10,
es,sepe consulta prestacion,90500,7.66,LOW,w10,
es,programacion la 1,90500,0,LOW,w10,
es,seguros de coche,90500,10.8,HIGH,w10,
es,unidad central operativa,90500,0,LOW,w10,
es,aparcamiento cerca de mi,90500,0.07,LOW,w10,
es,euskotren,74000,1.19,LOW,seed,33
es,tiempo Palma,74000,0,LOW,seed,24
pt,tempo Aveiro,74000,0.21,LOW,seed,27
pt,tempo Leiria,74000,0.31,LOW,seed,7
es,zara canarias,74000,0.36,MEDIUM,w3,31
es,islas azores,74000,0.65,LOW,w3,6
es,moco museum barcelona,74000,1.06,LOW,w3,0
es,ikea en canarias,74000,0.03,MEDIUM,w3,15
es,ikea canarias,74000,0.03,MEDIUM,w3,26
es,tiempo huelva,74000,0,LOW,w3,25
es,puerto del carmen,74000,0.78,LOW,w3,9
es,roque nublo gran canaria,74000,0.16,LOW,w3,4
es,islas cies,74000,0.39,LOW,w3,60
es,alquiler seguro,74000,3.11,LOW,w3,29
es,artículo 14,74000,2.2,LOW,w3,36
es,universidad europea de madrid,74000,0.56,LOW,w3,40
es,autonomias en españa,74000,0.03,LOW,w3,11
es,moodle centros sevilla,74000,0,LOW,w3,6
es,idealista madrid,74000,0.81,LOW,w3,13
es,hora argentina,74000,0,LOW,w3,36
es,valencia madrid en ave,74000,0.77,MEDIUM,w3,9
es,cambio de hora españa,74000,0.04,LOW,w3,0
es,centro comercial príncipe pío,74000,0.31,LOW,w3,0
es,clima madrid hoy,74000,1.58,LOW,w3,24
es,linea 10 metro madrid,74000,0.09,LOW,w3,35
es,madrid clima hoy,74000,1.58,LOW,w3,32
es,ave valencia madrid,74000,0.77,MEDIUM,w3,11
es,manzanares el real,74000,1.21,LOW,w3,21
es,centro comercial arena,74000,0.35,LOW,w3,13
es,argentina hora,74000,0,LOW,w3,16
pt,vila nova de gaia,74000,0.78,LOW,w3,23
pt,tap air portugal,74000,0.49,MEDIUM,w3,52
pt,vila real,74000,1.35,LOW,w3,12
pt,meteorologia setubal,74000,0.12,LOW,w3,10
pt,jogo porto,74000,0.66,LOW,w3,0
es,aemet alicante,74000,0,LOW,w3,20
es,hora exacta,74000,0,LOW,w3,50
es,tiempo madrid 14 dias,74000,0,LOW,w3,27
es,tiempo en 14 dias madrid,74000,0,LOW,w3,35
es,horarios cercanias madrid,74000,1.03,LOW,w3,33
es,chat madrid,74000,1.78,LOW,w3,2
es,madrid cercanias horarios,74000,1.03,LOW,w3,21
es,el tiempo en madrid aemet,74000,0,LOW,w3,47
es,precio del oro hoy,74000,0.19,LOW,w3,9
es,precio de la luz mañana,74000,2.76,LOW,w3,14
es,noticias de alava,74000,0,LOW,w3,37
es,noticias españa,74000,0.54,LOW,w3,100
es,noticias: valladolid,74000,0,LOW,w3,88
es,hora en la argentina,74000,0,LOW,w3,36
es,hora es en argentina,74000,0,LOW,w3,36
es,tiradas gratis coin master,74000,2.75,LOW,w3,13
es,subida pensiones 2026,74000,0.43,LOW,w3,4
es,cadena ser en directo,74000,0.02,LOW,w3,30
es,onda cero en directo,74000,0.02,LOW,w3,32
es,ver telecinco en directo,74000,0,LOW,w3,84
es,mega en directo,74000,0.01,LOW,w3,38
es,ibex 35 hoy tiempo real,74000,1.41,LOW,w3,36
es,cuatro en directo,74000,0,LOW,w3,50
es,ibex 35 en tiempo real hoy,74000,1.41,LOW,w3,36
es,españa hoy,74000,0.84,LOW,w3,100
es,comunidades autonomas españa,74000,0.03,LOW,w3,16
es,bandera de españa,74000,0.06,HIGH,w3,0
es,san juan pablo 2,74000,0.18,LOW,w3,13
es,mrw seguimiento,74000,0.86,LOW,w3,22
es,apagón eléctrico,74000,1.45,LOW,w3,8
es,temperatura valencia,74000,0.77,LOW,w3,40
es,estacion de autobuses valencia,74000,0.17,LOW,w3,4
es,central market valencia,74000,0.15,LOW,w3,23
es,valencia temperatura,74000,0.77,LOW,w3,68
es,seguimiento paquete,74000,0.52,LOW,w3,70
es,noticias en irán,74000,0.72,LOW,w3,10
es,iran noticias,74000,0.72,LOW,w3,22
es,noticias iraníes,74000,0.72,LOW,w3,25
es,noticias iran,74000,0.72,LOW,w3,22
es,noticias irán,74000,0.72,LOW,w3,10
pt,parque nascente shopping,74000,0.21,LOW,w3,0
es,robox com redeem,74000,0.3,LOW,w5,28
es,mercadona horarios,74000,0,LOW,w5,6
es,renting coches,74000,1.92,HIGH,w5,35
es,rental coche,74000,1.92,HIGH,w5,35
es,estación de servicio petronor repsol,74000,0.5,LOW,w5,0
es,pagar multa dgt,74000,1.35,LOW,w10,
es,tesla model 3,74000,0.47,HIGH,w10,
es,tesla modelo 3,74000,0.47,HIGH,w10,
es,ayuntamiento,74000,0.3,LOW,w10,
es,lotería nacional comprobar,74000,1.16,LOW,w10,
es,el tiempo ibiza,74000,0,LOW,w10,
es,el tiempo en ibiza,74000,0,LOW,w10,
es,cercanías Valencia,60500,0.78,LOW,seed,31
es,el tiempo hoy,60500,0,LOW,seed,96
es,tiempo Badajoz,60500,0,LOW,seed,29
pt,fertagus,60500,0.33,LOW,seed,2
pt,tempo Viseu,60500,0,LOW,seed,11
es,pacha barcelona,60500,0.23,LOW,w3,7
es,puerto de sagunto,60500,0.82,LOW,w3,2
es,puerto del rosario,60500,0.85,LOW,w3,24
es,islas mauricio,60500,0.59,LOW,w3,11
es,meteo.cat barcelona,60500,0,LOW,w3,75
es,fira barcelona gran via,60500,0.94,LOW,w3,23
es,el tiempo: barcelona hoy,60500,0,LOW,w3,37
es,meteocat barcelona,60500,0,LOW,w3,63
es,chat barcelona,60500,1.42,LOW,w3,0
es,meteo barcelona,60500,0,LOW,w3,63
es,seguro coche,60500,10.75,HIGH,w3,59
es,boletín oficial comunidad de madrid,60500,0,LOW,w3,54
es,boletin oficial comunidad de madrid,60500,0,LOW,w3,43
es,universidad autónoma de madrid,60500,3.34,LOW,w3,58
es,correo universidad politecnica de madrid,60500,0,LOW,w3,71
es,horarios en españa,60500,0,LOW,w3,25
es,hora argentino,60500,0,LOW,w3,30
es,restaurantes madrid,60500,0.55,LOW,w3,11
es,mapa españa politico,60500,0.03,MEDIUM,w3,19
es,santo domingo de la calzada,60500,2.46,LOW,w3,17
es,hoteles en madrid,60500,1.22,HIGH,w3,12
es,santo domingo,60500,0.44,LOW,w3,21
es,madrid estacion sur,60500,0.18,LOW,w3,2
es,incendios madrid,60500,0,LOW,w3,0
es,centro comercial el saler,60500,0.22,LOW,w3,18
es,mapa política españa,60500,0.03,MEDIUM,w3,2
es,rastro de madrid,60500,0.17,LOW,w3,11
es,hora española,60500,0,LOW,w3,49
es,españa la hora,60500,0,LOW,w3,30
es,españa hora,60500,0,LOW,w3,30
es,mapa politico españa,60500,0.03,MEDIUM,w3,17
es,centro comercial salera,60500,0.7,LOW,w3,1
es,atocha madrid,60500,0.91,LOW,w3,8
es,estación de madrid-chamartín-clara campoamor,60500,0.21,LOW,w3,1
es,incendio madrid,60500,0,LOW,w3,0
es,renfe cercanias madrid,60500,0.84,LOW,w3,48
es,soto del real,60500,0.97,LOW,w3,22
pt,vila nova de milfontes,60500,0.84,LOW,w3,0
pt,hospital luz lisboa,60500,0.14,LOW,w3,9
pt,mapa de portugal,60500,0.07,LOW,w3,17
pt,lisboa rossio,60500,0.45,LOW,w3,2
pt,sintra portugal,60500,0.94,LOW,w3,64
pt,rossio em lisboa,60500,0.45,LOW,w3,1
pt,hospital cuf porto,60500,1.03,LOW,w3,2
pt,hospital dos lusíadas lisboa,60500,0.1,LOW,w3,2
pt,apagao em portugal,60500,0,LOW,w3,0
pt,meteorologia matosinhos,60500,0,LOW,w3,14
pt,clima lisboa,60500,0,LOW,w3,25
pt,eleições legislativas 2025,60500,0,LOW,w3,19
pt,eleicoes legislativas 2025,60500,0,LOW,w3,23
