country,keyword,search_volume,cpc,competition,competition_level,source,monthly_searches,difficulty
es,bitcoins precio,301000,2,0.01,LOW,expansion,0,62
es,rtve/ directo,301000,0,0,LOW,expansion,0,73
es,radio televisión española directo,301000,0,0,LOW,expansion,0,95
es,españa francia,301000,0,0,LOW,expansion,0,0
es,áemet valencia,301000,0.23,0,LOW,expansion,0,34
es,tiempo en valencia,301000,0,0,LOW,expansion,0,38
es,tiempo en malaga,301000,0,0,LOW,affiliate,0,25
es,tiempo Valladolid,246000,0,LOW,,seed,12,26
es,el tiempo en huelva,246000,0,0,LOW,expansion,0,25
es,tiempo en barcelona,246000,0.3,0,LOW,expansion,0,36
es,real sociedad barcelona,246000,1.03,0,LOW,expansion,0,12
es,temperatura madrid,246000,0.13,0,LOW,expansion,0,35
es,centro comercial principe pio,246000,0.44,0.06,LOW,expansion,0,1
es,real valladolid,246000,0.3,0,LOW,expansion,0,39
es,mapa españa,246000,0.03,0.49,MEDIUM,expansion,0,37
es,centro comercial islazul,246000,0.59,0.05,LOW,expansion,0,2
es,aeropuerto adolfo suárez madrid-barajas,246000,0.4,0.04,LOW,expansion,0,23
es,plano metro madrid,246000,0.07,0,LOW,expansion,0,7
pt,meteorologia braga,246000,0,0,LOW,expansion,0,18
es,guadalajara,246000,1.09,0.04,LOW,expansion,0,80
es,españa portugal,246000,0,0,LOW,expansion,0,0
es,portugal-españa,246000,0,0,LOW,expansion,0,0
es,españa georgia,246000,0,0,LOW,expansion,0,0
es,portugal españa,246000,0,0,LOW,expansion,0,0
pt,jogos olímpicos de inverno de 2026,246000,0.96,0,LOW,expansion,0,5
es,traductor aleman español,246000,1.48,0.01,LOW,expansion,0,21
es,correos seguimiento,246000,1.3,0,LOW,expansion,0,70
es,seguimiento correos,246000,1.35,0,LOW,expansion,0,70
es,traductor español arabe,246000,0.63,0.02,LOW,expansion,0,9
es,metro bilbao,201000,0.23,LOW,,seed,12,19
es,aeropuerto Palma de Mallorca,201000,1.35,LOW,,seed,12,9
es,balearia,201000,0.07,LOW,,seed,12,
es,fred olsen,201000,0.06,LOW,,seed,12,16
es,tiempo Málaga,201000,0,LOW,,seed,12,29
es,tiempo Córdoba,201000,0,LOW,,seed,12,25
es,tiempo Granada,201000,0,LOW,,seed,12,23
es,tiempo Oviedo,201000,0,LOW,,seed,12,31
es,el tiempo en Málaga,201000,0,LOW,,seed,12,25
es,el tiempo en Palma,201000,0.16,LOW,,seed,12,25
es,calidad aire,201000,0.24,LOW,,seed,12,35
pt,via verde,201000,0.02,LOW,,seed,12,2
es,tenerife,201000,0.75,0.07,LOW,expansion,0,100
es,barcelona celta de vigo,201000,0.92,0.1,LOW,expansion,0,0
es,puerto de la cruz,201000,0.73,0.05,LOW,expansion,0,36
es,temps barcelona,201000,0,0,LOW,expansion,0,42
es,santa cruz de tenerife,201000,0.76,0.04,LOW,expansion,0,30
es,museo nacional centro de arte reina sofía,201000,0.32,0.12,LOW,expansion,0,39
es,ifema madrid,201000,2.96,0.07,LOW,expansion,0,21
es,centro comercial la vaguada,201000,0.41,0.06,LOW,expansion,0,8
es,palacio real de madrid,201000,0.91,0.24,LOW,expansion,0,37
es,parque warner madrid,201000,0.27,0.14,LOW,expansion,0,21
es,estacion de autobuses del sur de madrid,201000,0.18,0.06,LOW,expansion,0,0
es,centro comercial splau,201000,0.3,0.05,LOW,expansion,0,1
es,renfe cercanias,201000,0.6,0.01,LOW,expansion,0,33
es,estacion sur de autobuses madrid,201000,0.18,0.06,LOW,expansion,0,0
es,aeropuerto palma de mallorca,201000,1.35,0.04,LOW,expansion,0,9
es,aeropuerto,201000,0.22,0.02,LOW,expansion,0,69
es,tiempo madrid hoy,201000,0,0,LOW,expansion,0,43
es,onda cero: directo,201000,0.03,0,LOW,expansion,0,23
es,onda cero directo,201000,0.03,0,LOW,expansion,0,23
es,la sexta directo,201000,0.02,0,LOW,expansion,0,68
es,temu españa,201000,0.14,1,HIGH,expansion,0,1
es,plaza españa,201000,0.25,0.07,LOW,expansion,0,22
es,el tiempo valencia,201000,0.02,0,LOW,expansion,0,33
es,el tiempo: bilbao,201000,0,0,LOW,expansion,0,33
es,el tiempo bilbao,201000,0,0,LOW,expansion,0,54
es,tiempo a vigo,201000,0.58,0,LOW,expansion,0,24
es,tiempo en bilbao,201000,1.08,0,LOW,expansion,0,54
es,traductor español,201000,0.53,0.02,LOW,expansion,0,99
es,metrovalencia horarios,201000,0,0,LOW,expansion,0,27
es,tarifa luz hora,201000,2.66,0.02,LOW,affiliate,0,16
es,declaracion de la renta 2024,201000,1.29,0.01,LOW,affiliate,0,28
es,radar lluvia,165000,0.18,LOW,,seed,12,32
es,tiempo Alicante,165000,0.04,LOW,,seed,12,27
es,tiempo Vigo,165000,0,LOW,,seed,12,24
es,barcelona real sociedad,165000,0,0,LOW,expansion,0,0
es,puerto rico,165000,0.32,0.03,LOW,expansion,0,18
es,mediamarkt canarias,165000,0.06,0.34,MEDIUM,expansion,0,3
es,plaza de armas,165000,0.12,0.08,LOW,expansion,0,5
es,puerto venecia,165000,0.63,0.05,LOW,expansion,0,4
es,temperatura barcelona,165000,0.49,0,LOW,expansion,0,57
es,albacete barcelona,165000,0.58,0.04,LOW,expansion,0,15
es,barcelona levante,165000,2.53,0,LOW,expansion,0,0
es,celta de vigo barcelona,165000,0.02,0.01,LOW,expansion,0,0
es,puerto banus,165000,0.45,0.14,LOW,expansion,0,9
es,levante barcelona,165000,0,0,LOW,expansion,0,14
es,banco de españa,165000,8.9,0.03,LOW,expansion,0,77
es,hora colombia,165000,0,0,LOW,expansion,0,20
es,real murcia,165000,0,0,LOW,expansion,0,70
es,villalba madrid,165000,1.22,0.03,LOW,expansion,0,6
pt,previsão do tempo,165000,0.34,0,LOW,expansion,0,50
pt,olx portugal,165000,1.67,0,LOW,expansion,0,100
pt,aeroporto francisco sá carneiro,165000,0.36,0.03,LOW,expansion,0,34
es,precio oro,165000,0.07,0.04,LOW,expansion,0,11
es,precio del oro,165000,0.13,0.05,LOW,expansion,0,8
es,precio luz mañana,165000,2.98,0.02,LOW,expansion,0,14
es,diario de noticias de navarra,165000,0,0,LOW,expansion,0,43
es,diario de noticias navarra,165000,0,0,LOW,expansion,0,75
es,navarra diario de noticias,165000,0,0,LOW,expansion,0,47
es,apagon españa,165000,0,0,LOW,expansion,0,0
es,tiempo: vigo,165000,0,0,LOW,expansion,0,26
pt,combustíveis,165000,0.21,0.02,LOW,expansion,0,23
es,madrid barajas airport,165000,0.81,0.02,LOW,expansion,0,33
es,europcar,165000,0.67,0.41,MEDIUM,affiliate,0,22
es,coches,165000,0.35,0.68,HIGH,affiliate,0,50
es,aena,135000,1.83,LOW,,seed,12,79
es,tiempo Gijón,135000,0,LOW,,seed,12,19
es,tiempo Vitoria,135000,0,LOW,,seed,12,18
pt,metro lisboa,135000,0.3,LOW,,seed,12,80
pt,ipma tempo,135000,0.18,LOW,,seed,12,50
pt,tempo Braga,135000,0.61,LOW,,seed,12,15
pt,combustíveis próxima semana,135000,1.35,0,LOW,expansion,0,0
es,cd tenerife,135000,0,0,LOW,expansion,0,44
es,canarias,135000,0.46,0.03,LOW,expansion,0,100
es,catedral de barcelona,135000,0.49,0.2,LOW,expansion,0,25
es,el tiempo: cádiz,135000,0,0,LOW,expansion,0,15
es,ayuntamiento de madrid,135000,3.56,0.01,LOW,expansion,0,71
es,ciudad real,135000,1.03,0.04,LOW,expansion,0,83
pt,lisboa oriente,135000,0.51,0.04,LOW,expansion,0,2
es,hora,135000,0,0,LOW,expansion,0,47
es,el tiempo en madrid 14 dias,135000,0.01,0,LOW,expansion,0,60
es,el tiempo a 14 días en madrid,135000,0.01,0,LOW,expansion,0,96
es,mapa metro madrid,135000,0.07,0,LOW,expansion,0,15
es,precio petroleo,135000,0.97,0,LOW,expansion,0,21
es,aeropuerto de bilbao,135000,1.22,0.04,LOW,expansion,0,10
es,aeropuerto de málaga costa del sol,135000,0.4,0.04,LOW,expansion,0,16
es,aeropuerto de málaga-costa del sol,135000,0.4,0.04,LOW,expansion,0,13
es,centro comercial plaza norte 2,135000,0.62,0.06,LOW,expansion,0,17
es,q hora es en honduras,135000,0,0,LOW,expansion,0,0
es,gran via 2 centro comercial,135000,0.74,0.05,LOW,expansion,0,0
es,telemadrid en directo,135000,0,0,LOW,expansion,0,43
es,españa-bulgaria,135000,0,0,LOW,expansion,0,0
es,radios de españa,135000,0.05,0.02,LOW,expansion,0,86
es,valencia plaza,135000,2.03,0,LOW,expansion,0,100
pt,parque de estacionamento,135000,0.27,0.03,LOW,expansion,0,0
es,cambio de hora,135000,0.04,0.02,LOW,expansion,0,26
es,moto ocasion,135000,0.07,0.26,LOW,affiliate,0,27
es,compramos tu coche,135000,3.12,0.76,HIGH,affiliate,0,30
es,declaración de la renta 2025,135000,1.68,0.02,LOW,affiliate,0,8
es,cercanías madrid,110000,0.88,LOW,,seed,12,62
es,rodalies,110000,0.77,LOW,,seed,12,41
es,metro valencia,110000,0.4,LOW,,seed,12,54
es,horarios renfe,110000,0.33,LOW,,seed,12,56
es,cercanías Madrid,110000,0.88,LOW,,seed,12,62
es,alcampo gasolinera,110000,0.47,LOW,,seed,12,0
es,tiempo Murcia,110000,0,LOW,,seed,12,59
es,el tiempo en Murcia,110000,0,LOW,,seed,12,37
es,provincias españa mapa,110000,0.03,LOW,,seed,12,6
pt,preço combustível,110000,1.06,LOW,,seed,12,22
pt,preço combustíveis próxima semana,110000,1.76,0,LOW,expansion,0,1
es,el tiempo en las palmas de gran canaria,110000,0.31,0,LOW,expansion,0,65
es,arenas de barcelona,110000,0.26,0.06,LOW,expansion,0,20
es,islas canarias,110000,0.13,0.07,LOW,expansion,0,24
es,fira barcelona,110000,0.61,0.06,LOW,expansion,0,26
es,binter canarias,110000,0.26,0.15,LOW,expansion,0,8
es,gran canaria,110000,0.85,0.07,LOW,expansion,0,100
es,clima barcelona,110000,3.18,0,LOW,expansion,0,57
es,parque de atracciones de madrid,110000,0.25,0.21,LOW,expansion,0,32
es,comunidad de madrid,110000,0.44,0,LOW,expansion,0,94
es,hora en peru,110000,0,0,LOW,expansion,0,7
es,cercanias madrid,110000,0.88,0,LOW,expansion,0,48
es,matadero madrid,110000,0.79,0.11,LOW,expansion,0,43
es,mapa provincias españa,110000,0.03,0.33,LOW,expansion,0,28
pt,instituto de meteorologia,110000,0,0,LOW,expansion,0,57
pt,tap portugal,110000,0.22,0.46,MEDIUM,expansion,0,42
pt,meteorologia guimarães,110000,0.05,0,LOW,expansion,0,6
pt,notícias última hora,110000,0.42,0,LOW,expansion,0,100
pt,portugal espanha,110000,0.11,0.01,LOW,expansion,0,0
pt,vila do conde,110000,0.77,0.04,LOW,expansion,0,20
es,renfe horario,110000,0.38,0.01,LOW,expansion,0,64
es,terminal t4 llegadas aparcamiento p 4,110000,0.39,0.07,LOW,expansion,0,0
es,hora en honduras,110000,0,0,LOW,expansion,0,0
es,quiniela directo,110000,2.37,0.02,LOW,expansion,0,65
es,cuesta frank,110000,0,0,LOW,expansion,0,13
es,antena 3 en directo,110000,0.02,0,LOW,expansion,0,74
es,radio huesca,110000,0.24,0,LOW,expansion,0,8
es,es radio directo,110000,0.02,0,LOW,expansion,0,62
es,españa serbia,110000,3.04,0,LOW,expansion,0,0
es,parque europa,110000,0.28,0.04,LOW,expansion,0,19
es,ayuntamiento de valencia,110000,0.15,0.11,LOW,expansion,0,38
es,turquia españa,110000,0.09,0,LOW,expansion,0,0
es,dgt multas,110000,1.95,0.04,LOW,expansion,0,45
es,gran vía 2,110000,0.35,0.03,LOW,expansion,0,15
pt,horários funchal,110000,0.4,0,LOW,expansion,0,10
es,bioparc valencia,110000,0.58,0.21,LOW,expansion,0,33
pt,hora funchal,110000,0.4,0,LOW,expansion,0,0
pt,preço combustiveis,110000,1.06,0,LOW,expansion,0,19
es,renfe horarios,110000,0.38,0.01,LOW,expansion,0,64
es,horarios mercadona,110000,0,0,LOW,affiliate,0,9
pt,abola-pt,110000,0,0,LOW,affiliate,0,11
es,loteria de navidad 2025,110000,0.13,0.03,LOW,affiliate,0,100
pt,voos baratos,110000,0.47,0.68,HIGH,affiliate,0,62
es,horario renfe cercanias,110000,1.16,0,LOW,affiliate,0,47
es,estación Valencia Joaquín Sorolla,90500,0.2,LOW,,seed,12,0
es,armas naviera,90500,0.15,LOW,,seed,12,4
es,naviera armas,90500,0.15,LOW,,seed,12,19
pt,metro porto,90500,0.81,LOW,,seed,12,6
pt,tempo Coimbra,90500,0.05,LOW,,seed,12,10
es,aeropuerto barcelona,90500,1.14,0.03,LOW,expansion,0,39
es,arco de triunfo barcelona,90500,0.25,0.12,LOW,expansion,0,0
es,el corte ingles canarias,90500,0.04,0.21,LOW,expansion,0,23
es,l'aquarium de barcelona,90500,0.37,0.09,LOW,expansion,0,7
es,l'aquàrium de barcelona,90500,0.37,0.09,LOW,expansion,0,7
es,coches de segunda mano,90500,0.46,0.97,HIGH,expansion,0,37
es,alquiler coche,90500,3.07,0.66,MEDIUM,expansion,0,75
es,universidad complutense de madrid,90500,3.37,0.08,LOW,expansion,0,64
es,temperatura en madrid,90500,0,0,LOW,expansion,0,50
es,plano de metro de madrid,90500,0.04,0,LOW,expansion,0,17
es,línea 6 metro madrid,90500,0,0,LOW,expansion,0,20
es,hora peruana,90500,0,0,LOW,expansion,0,11
es,peru hora,90500,0,0,LOW,expansion,0,9
es,metro madrid línea 6,90500,0,0,LOW,expansion,0,23
es,centro comercial tresaguas,90500,0.73,0.06,LOW,expansion,0,0
es,linea 6 madrid,90500,0,0,LOW,expansion,0,4
es,linea de metro 6 madrid,90500,0,0,LOW,expansion,0,7
es,centro comercial los arcos,90500,0.16,0.06,LOW,expansion,0,10
es,linea 6 de metro madrid,90500,0,0,LOW,expansion,0,20
es,zoo aquarium de madrid,90500,0.47,0.12,LOW,expansion,0,21
es,metro madrid linea 6,90500,0,0,LOW,expansion,0,18
es,metro de madrid linea 6,90500,0,0,LOW,expansion,0,30
es,metro 6 madrid,90500,0,0,LOW,expansion,0,7
es,linea 6 metro de madrid,90500,0,0,LOW,expansion,0,4
es,linea metro 6 madrid,90500,0,0,LOW,expansion,0,11
es,palacio real,90500,1,0.46,MEDIUM,expansion,0,53
es,mapa del mundo,90500,0.04,0.57,MEDIUM,expansion,0,10
es,linea 6 metro madrid,90500,0,0,LOW,expansion,0,22
es,hora: españa,90500,0,0,LOW,expansion,0,40
pt,meteorologia leiria,90500,0,0,LOW,expansion,0,7
pt,vila franca de xira,90500,1.17,0.02,LOW,expansion,0,36
pt,porto moniz,90500,0.72,0.03,LOW,expansion,0,9
pt,metro do porto,90500,0.81,0,LOW,expansion,0,4
pt,são bento porto,90500,0.14,0.14,LOW,expansion,0,1
pt,casino portugal,90500,3.36,0.45,MEDIUM,expansion,0,29
pt,time out market lisboa,90500,0.29,0.11,LOW,expansion,0,22
pt,eleições autárquicas 2025,90500,0,0,LOW,expansion,0,14
pt,eleições autarquicas 2025,90500,0,0,LOW,expansion,0,12
pt,eleicoes autarquicas 2025,90500,0,0,LOW,expansion,0,14
pt,aeroporto,90500,0.07,0.03,LOW,expansion,0,22
es,horario del peru,90500,0,0,LOW,expansion,0,5
es,el tiempo en ciudad real,90500,0,0,LOW,expansion,0,52
es,caixaforum madrid,90500,0.09,0.15,LOW,expansion,0,43
es,aeropuerto madrid barajas t4 madrid,90500,0.36,0.06,LOW,expansion,0,20
es,aeropuerto madrid barajas t4,90500,0.36,0.06,LOW,expansion,0,32
es,festivos madrid 2025,90500,0,0,LOW,expansion,0,0
es,precio petroleo hoy,90500,0.13,0,LOW,expansion,0,51
es,cotizacion repsol,90500,6.08,0,LOW,expansion,0,7
es,acciones repsol,90500,2.56,0.01,LOW,expansion,0,7
es,diario de noticias de alava,90500,0,0,LOW,expansion,0,27
es,renfe billetes,90500,0.6,0.13,LOW,expansion,0,47
es,lasexta en directo,90500,0.01,0,LOW,expansion,0,53
es,el tiempo ciudad real,90500,0,0,LOW,expansion,0,46
es,españa-egipto,90500,1.95,0,LOW,expansion,0,0
es,españa turquía,90500,0,0,LOW,expansion,0,3
es,españa egipto,90500,1.95,0,LOW,expansion,0,0
es,real sociedad foros,90500,0,0,LOW,expansion,0,3
es,alaves real sociedad,90500,0,0,LOW,expansion,0,1
es,foro real sociedad,90500,0,0,LOW,expansion,0,12
es,el tiempo: vigo,90500,0,0,LOW,expansion,0,24
es,museo guggenheim bilbao,90500,0.4,0.25,LOW,expansion,0,20
es,museos bilbao guggenheim,90500,0.4,0.25,LOW,expansion,0,20
pt,calendários 2026,90500,0.05,0.57,MEDIUM,expansion,0,2
pt,ponte de lima,90500,0.72,0.04,LOW,expansion,0,14
es,traductor español aleman,90500,0.51,0.02,LOW,expansion,0,19
es,seur seguimiento,90500,1.25,0.01,LOW,expansion,0,0
es,ebro coches,90500,0.42,0.9,HIGH,affiliate,0,18
es,el tiempo en el puerto de santa maria,90500,0,0,LOW,affiliate,0,27
es,estación de autobuses plaza de armas,90500,0.11,0.11,LOW,affiliate,0,0
es,euskotren,74000,1.19,LOW,,seed,12,33
es,tiempo Palma,74000,0,LOW,,seed,12,24
pt,tempo Aveiro,74000,0.21,LOW,,seed,12,27
pt,tempo Leiria,74000,0.31,LOW,,seed,12,7
es,zara canarias,74000,0.36,0.41,MEDIUM,expansion,0,31
es,islas azores,74000,0.65,0.09,LOW,expansion,0,6
es,moco museum barcelona,74000,1.06,0.3,LOW,expansion,0,0
es,ikea en canarias,74000,0.03,0.55,MEDIUM,expansion,0,15
es,ikea canarias,74000,0.03,0.55,MEDIUM,expansion,0,26
es,tiempo huelva,74000,0,0,LOW,expansion,0,25
es,puerto del carmen,74000,0.78,0.07,LOW,expansion,0,9
es,roque nublo gran canaria,74000,0.16,0.08,LOW,expansion,0,4
es,islas cies,74000,0.39,0.13,LOW,expansion,0,60
es,alquiler seguro,74000,3.11,0.31,LOW,expansion,0,29
es,artículo 14,74000,2.2,0,LOW,expansion,0,36
es,universidad europea de madrid,74000,0.56,0.12,LOW,expansion,0,40
es,autonomias en españa,74000,0.03,0.2,LOW,expansion,0,11
es,moodle centros sevilla,74000,0,0,LOW,expansion,0,6
es,idealista madrid,74000,0.81,0.04,LOW,expansion,0,13
es,hora argentina,74000,0,0,LOW,expansion,0,36
es,valencia madrid en ave,74000,0.77,0.66,MEDIUM,expansion,0,9
es,cambio de hora españa,74000,0.04,0.01,LOW,expansion,0,0
es,centro comercial príncipe pío,74000,0.31,0.06,LOW,expansion,0,0
es,clima madrid hoy,74000,1.58,0,LOW,expansion,0,24
es,linea 10 metro madrid,74000,0.09,0,LOW,expansion,0,35
es,madrid clima hoy,74000,1.58,0,LOW,expansion,0,32
es,ave valencia madrid,74000,0.77,0.66,MEDIUM,expansion,0,11
es,manzanares el real,74000,1.21,0.03,LOW,expansion,0,21
es,centro comercial arena,74000,0.35,0.06,LOW,expansion,0,13
es,argentina hora,74000,0,0,LOW,expansion,0,16
pt,vila nova de gaia,74000,0.78,0.06,LOW,expansion,0,23
pt,tap air portugal,74000,0.49,0.35,MEDIUM,expansion,0,52
pt,vila real,74000,1.35,0.02,LOW,expansion,0,12
pt,meteorologia setubal,74000,0.12,0,LOW,expansion,0,10
pt,jogo porto,74000,0.66,0,LOW,expansion,0,0
es,aemet alicante,74000,0,0,LOW,expansion,0,20
es,hora exacta,74000,0,0,LOW,expansion,0,50
es,tiempo madrid 14 dias,74000,0,0,LOW,expansion,0,27
es,tiempo en 14 dias madrid,74000,0,0,LOW,expansion,0,35
es,horarios cercanias madrid,74000,1.03,0,LOW,expansion,0,33
es,chat madrid,74000,1.78,0.01,LOW,expansion,0,2
es,madrid cercanias horarios,74000,1.03,0,LOW,expansion,0,21
es,el tiempo en madrid aemet,74000,0,0,LOW,expansion,0,47
es,precio del oro hoy,74000,0.19,0.03,LOW,expansion,0,9
es,precio de la luz mañana,74000,2.76,0.01,LOW,expansion,0,14
es,noticias de alava,74000,0,0,LOW,expansion,0,37
es,noticias españa,74000,0.54,0,LOW,expansion,0,100
es,noticias: valladolid,74000,0,0,LOW,expansion,0,88
es,hora en la argentina,74000,0,0,LOW,expansion,0,36
es,hora es en argentina,74000,0,0,LOW,expansion,0,36
es,tiradas gratis coin master,74000,2.75,0,LOW,expansion,0,13
es,subida pensiones 2026,74000,0.43,0.01,LOW,expansion,0,4
es,cadena ser en directo,74000,0.02,0.01,LOW,expansion,0,30
es,onda cero en directo,74000,0.02,0,LOW,expansion,0,32
es,ver telecinco en directo,74000,0,0,LOW,expansion,0,84
es,mega en directo,74000,0.01,0,LOW,expansion,0,38
es,ibex 35 hoy tiempo real,74000,1.41,0,LOW,expansion,0,36
es,cuatro en directo,74000,0,0,LOW,expansion,0,50
es,ibex 35 en tiempo real hoy,74000,1.41,0,LOW,expansion,0,36
es,españa hoy,74000,0.84,0,LOW,expansion,0,100
es,comunidades autonomas españa,74000,0.03,0.2,LOW,expansion,0,16
es,bandera de españa,74000,0.06,0.77,HIGH,expansion,0,0
es,san juan pablo 2,74000,0.18,0.02,LOW,expansion,0,13
es,mrw seguimiento,74000,0.86,0.01,LOW,expansion,0,22
es,apagón eléctrico,74000,1.45,0.01,LOW,expansion,0,8
es,temperatura valencia,74000,0.77,0,LOW,expansion,0,40
es,estacion de autobuses valencia,74000,0.17,0.03,LOW,expansion,0,4
es,central market valencia,74000,0.15,0.14,LOW,expansion,0,23
es,valencia temperatura,74000,0.77,0,LOW,expansion,0,68
es,seguimiento paquete,74000,0.52,0.03,LOW,expansion,0,70
es,noticias en irán,74000,0.72,0,LOW,expansion,0,10
es,iran noticias,74000,0.72,0,LOW,expansion,0,22
es,noticias iraníes,74000,0.72,0,LOW,expansion,0,25
es,noticias iran,74000,0.72,0,LOW,expansion,0,22
es,noticias irán,74000,0.72,0,LOW,expansion,0,10
pt,parque nascente shopping,74000,0.21,0.05,LOW,expansion,0,0
es,robox com redeem,74000,0.3,0,LOW,affiliate,0,28
es,mercadona horarios,74000,0,0,LOW,affiliate,0,6
es,renting coches,74000,1.92,0.79,HIGH,affiliate,0,35
es,rental coche,74000,1.92,0.79,HIGH,affiliate,0,35
es,estación de servicio petronor repsol,74000,0.5,0.01,LOW,affiliate,0,0
es,cercanías valencia,60500,0.78,LOW,,seed,12,31
es,cercanías Valencia,60500,0.78,LOW,,seed,12,31
es,el tiempo hoy,60500,0,LOW,,seed,12,96
es,tiempo Badajoz,60500,0,LOW,,seed,12,29
pt,fertagus,60500,0.33,LOW,,seed,12,2
pt,tempo Viseu,60500,0,LOW,,seed,12,11
es,pacha barcelona,60500,0.23,0.09,LOW,expansion,0,7
es,puerto de sagunto,60500,0.82,0.04,LOW,expansion,0,2
es,puerto del rosario,60500,0.85,0.03,LOW,expansion,0,24
es,islas mauricio,60500,0.59,0.04,LOW,expansion,0,11
es,meteo.cat barcelona,60500,0,0,LOW,expansion,0,75
es,fira barcelona gran via,60500,0.94,0.07,LOW,expansion,0,23
